# Total: 352 exercises
id,name,primaryMuscle,secondaryMuscles,movementPattern,angle,equipment,difficultyLevel,exerciseType
bench-press,Bench Press,Chest,Front Delts | Triceps,horizontal_push,flat,barbell,intermediate,barbell
bicycle-crunch,Bicycle Crunch,Abs / Core,Obliques,core_rotational,none,bodyweight,beginner,bodyweight_only
bird-dog,Bird Dog,Abs / Core,Glutes | Lower Back,core_anterior,none,bodyweight,beginner,bodyweight_only
bodyweight-calf-raise,Bodyweight Calf Raise,Calves,,isolation_legs,none,bodyweight,beginner,bodyweight_only
bodyweight-lunge,Bodyweight Lunge,Quads,Glutes,lunge,none,bodyweight,beginner,bodyweight_only
bodyweight-squat,Bodyweight Squat,Quads,Glutes,squat,none,bodyweight,beginner,bodyweight_only
box-jump,Box Jump,Quads,Glutes | Calves | Hamstrings,squat,none,bodyweight,intermediate,bodyweight_only
box-squat,Box Squat,Quads,Glutes | Hamstrings,squat,none,barbell,intermediate,barbell
box-step-up,Box Step-Up,Quads,Glutes,lunge,none,dumbbell,beginner,free_weights_accessories
bradford-press,Bradford Press,Shoulders,Traps | Triceps,vertical_push,overhead,barbell,intermediate,barbell
bulgarian-split-squat,Bulgarian Split Squat,Quads,Glutes | Hamstrings,lunge,none,dumbbell,intermediate,free_weights_accessories
burpee,Burpee,Quads,Shoulders | Core | Chest,squat,none,bodyweight,intermediate,bodyweight_only
butterfly-machine,Butterfly Machine,Chest,Front Delts,isolation_push,flat,machine,beginner,machine
cable-chest-fly,Cable Chest Fly,Chest,Front Delts,isolation_push,flat,cable,beginner,machine
cable-chest-press,Cable Chest Press,Chest,Front Delts | Triceps,horizontal_push,flat,cable,beginner,machine
cable-crossover,Cable Crossover,Chest,Front Delts,isolation_push,flat,cable,beginner,machine
cable-crunch,Cable Crunch,Core,Hip Flexors,core_anterior,none,cable,beginner,machine
cable-curl,Cable Curl,Biceps,Forearms,isolation_pull,none,cable,beginner,machine
cable-external-rotation,Cable External Rotation,Rotator Cuff,Rear Delts,isolation_pull,none,cable,beginner,machine
glute-kickback-cable,Cable Glute Kickback,Glutes,Hamstrings,hip_hinge,none,cable,beginner,machine
cable-hammer-curl,Cable Hammer Curl,Biceps,Brachialis | Forearms,isolation_pull,none,cable,beginner,machine
cable-hip-abduction,Cable Hip Abduction,Abductors,Glutes,isolation_legs,none,cable,beginner,machine
cable-hip-flexor,Cable Hip Flexor Raise,Hip Flexors,Abs / Core,isolation_legs,none,cable,beginner,machine
cable-lateral-raise,Cable Lateral Raise,Shoulders,Traps,isolation_push,none,cable,beginner,machine
cable-leg-curl,Cable Leg Curl,Hamstrings,Calves,isolation_legs,none,cable,beginner,machine
cable-preacher-curl,Cable Preacher Curl,Biceps,Forearms,isolation_pull,incline,cable,beginner,machine
cable-pull-through,Cable Pull-Through,Glutes,Hamstrings,hip_hinge,none,cable,beginner,machine
cable-rear-delt-fly,Cable Rear Delt Fly,Rear Delts,Traps | Upper Back,isolation_pull,prone,cable,beginner,machine
cable-shrug,Cable Shrug,Traps,Forearms,isolation_pull,none,cable,beginner,machine
cable-tricep-kickback,Cable Tricep Kickback,Triceps,,isolation_push,none,cable,beginner,machine
cable-wood-chop,Cable Wood Chop,Core,Shoulders | Obliques,core_rotational,none,cable,beginner,machine
captain-chair-knee-raise,Captain's Chair Knee Raise,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
chest-dip,Chest Dip,Chest,Triceps | Front Delts,vertical_push,decline,bodyweight,intermediate,bodyweight_only
chest-stretch,Chest Stretch,Chest,Front Delts,cardio,none,bodyweight,beginner,bodyweight_only
chest-supported-dumbbell-row,Chest-Supported Dumbbell Row,Upper Back,Lats | Rear Delts,horizontal_pull,prone,dumbbell,beginner,free_weights_accessories
chest-supported-machine-row,Chest-Supported Machine Row,Upper Back,Lats | Rear Delts,horizontal_pull,prone,machine,beginner,machine
chest-supported-row,Chest-Supported Row,Upper Back,Rear Delts | Biceps,horizontal_pull,prone,dumbbell,beginner,free_weights_accessories
chin-up,Chin-Up,Lats,Biceps | Upper Back,vertical_pull,overhead,bodyweight,intermediate,bodyweight_only
clean-and-jerk,Clean and Jerk,Hamstrings,Shoulders | Glutes | Traps,hip_hinge,overhead,barbell,advanced,barbell
clean-pull,Clean Pull,Hamstrings,Traps | Glutes,hip_hinge,none,barbell,advanced,barbell
close-grip-bench-press,Close-Grip Bench Press,Triceps,Chest | Front Delts,isolation_push,flat,barbell,intermediate,barbell
close-grip-cable-row,Close-Grip Cable Row,Lats,Upper Back | Biceps,horizontal_pull,flat,cable,beginner,machine
close-grip-lat-pulldown,Close-Grip Lat Pulldown,Lats,Biceps | Upper Back,vertical_pull,overhead,cable,beginner,machine
concentration-curl,Concentration Curl,Biceps,Forearms | Brachialis,isolation_pull,none,dumbbell,beginner,free_weights_accessories
conventional-deadlift,Conventional Deadlift,Hamstrings,Glutes | Lower Back | Traps,hip_hinge,none,barbell,advanced,barbell
copenhagen-plank,Copenhagen Plank,Core,Inner Thigh | Glutes,core_anterior,none,bodyweight,advanced,bodyweight_only
cossack-squat,Cossack Squat,Adductors,Glutes | Quads,lunge,none,bodyweight,intermediate,bodyweight_only
cross-body-hammer-curl,Cross-Body Hammer Curl,Biceps,Brachialis | Forearms,isolation_pull,none,dumbbell,beginner,free_weights_accessories
cuban-press,Cuban Press,Shoulders,Rotator Cuff | Traps,isolation_push,overhead,dumbbell,intermediate,free_weights_accessories
curtsy-lunge,Curtsy Lunge,Glutes,Quads | Inner Thigh,lunge,none,dumbbell,beginner,free_weights_accessories
cycling,Cycling,Cardio,Quads | Glutes | Calves,cardio,none,none,beginner,freestyle_cardio
dead-bug,Dead Bug,Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
dead-hang,Dead Hang,Lats,Forearms | Shoulders,vertical_pull,overhead,bodyweight,beginner,bodyweight_only
deadhang,Deadhang,Forearms,Lats | Shoulders,vertical_pull,overhead,bodyweight,beginner,bodyweight_only
decline-barbell-press,Decline Barbell Press,Lower Chest,Front Delts | Triceps,horizontal_push,decline,barbell,intermediate,barbell
decline-crunch,Decline Crunch,Abs / Core,Hip Flexors,core_anterior,decline,bodyweight,intermediate,bodyweight_only
decline-dumbbell-fly,Decline Dumbbell Fly,Lower Chest,Front Delts,isolation_push,decline,dumbbell,beginner,free_weights_accessories
decline-dumbbell-press,Decline Dumbbell Press,Lower Chest,Front Delts | Triceps,horizontal_push,decline,dumbbell,intermediate,free_weights_accessories
decline-machine-press,Decline Machine Press,Lower Chest,Triceps | Front Delts,horizontal_push,decline,machine,beginner,machine
push-up-decline,Decline Push-Up,Lower Chest,Triceps | Front Delts,horizontal_push,decline,bodyweight,intermediate,bodyweight_only
decline-sit-up,Decline Sit-Up,Abs / Core,Hip Flexors,core_anterior,decline,bodyweight,intermediate,bodyweight_only
deficit-deadlift,Deficit Deadlift,Hamstrings,Glutes | Lower Back,hip_hinge,none,barbell,advanced,barbell
deficit-push-up,Deficit Push-Up,Chest,Triceps | Front Delts,horizontal_push,flat,bodyweight,intermediate,bodyweight_only
jump-box,Depth Jump,Quads,Glutes | Calves,squat,none,bodyweight,advanced,bodyweight_only
diamond-push-up,Diamond Push-Up,Triceps,Chest,isolation_push,flat,bodyweight,intermediate,bodyweight_only
donkey-calf-raise,Donkey Calf Raise,Calves,,isolation_legs,none,bodyweight,beginner,bodyweight_only
double-under,Double Under,Calves,Shoulders | Core,cardio,none,none,intermediate,bodyweight_only
drag-curl,Drag Curl,Biceps,Forearms | Brachialis,isolation_pull,none,barbell,intermediate,barbell
drag-pushdown,Drag Pushdown,Triceps,Lats,isolation_push,none,cable,intermediate,machine
dragon-flag,Dragon Flag,Abs / Core,Lats,core_anterior,none,bodyweight,advanced,bodyweight_only
dumbbell-bench-press,Dumbbell Bench Press,Chest,Front Delts | Triceps,horizontal_push,flat,dumbbell,beginner,free_weights_accessories
dumbbell-calf-raise,Dumbbell Calf Raise,Calves,,isolation_legs,none,dumbbell,beginner,free_weights_accessories
dumbbell-chest-fly,Dumbbell Chest Fly,Chest,Front Delts,isolation_push,flat,dumbbell,beginner,free_weights_accessories
dumbbell-curl,Dumbbell Curl,Biceps,Forearms,isolation_pull,none,dumbbell,beginner,free_weights_accessories
dumbbell-deadlift,Dumbbell Deadlift,Hamstrings,Glutes | Lower Back | Traps,hip_hinge,none,dumbbell,beginner,free_weights_accessories
dumbbell-forward-lunge,Dumbbell Forward Lunge,Quads,Glutes | Hamstrings,lunge,none,dumbbell,beginner,free_weights_accessories
dumbbell-front-raise,Dumbbell Front Raise,Front Delts,Shoulders,isolation_push,none,dumbbell,beginner,free_weights_accessories
dumbbell-hip-thrust,Dumbbell Hip Thrust,Glutes,Hamstrings,hip_hinge,none,dumbbell,beginner,free_weights_accessories
dumbbell-lateral-raise,Dumbbell Lateral Raise,Shoulders,Traps,isolation_push,none,dumbbell,beginner,free_weights_accessories
dumbbell-pullover-back,Dumbbell Pullover (Back),Lats,Chest | Serratus | Triceps,vertical_pull,flat,dumbbell,intermediate,free_weights_accessories
dumbbell-pullover-chest,Dumbbell Pullover (Chest),Chest,Lats | Triceps,horizontal_push,flat,dumbbell,intermediate,free_weights_accessories
dumbbell-rear-delt-fly,Dumbbell Rear Delt Fly,Rear Delts,Traps | Upper Back,isolation_pull,prone,dumbbell,beginner,free_weights_accessories
dumbbell-reverse-lunge,Dumbbell Reverse Lunge,Quads,Glutes | Hamstrings,lunge,none,dumbbell,beginner,free_weights_accessories
dumbbell-romanian-deadlift,Dumbbell Romanian Deadlift,Hamstrings,Glutes | Lower Back,hip_hinge,none,dumbbell,beginner,free_weights_accessories
dumbbell-row,Dumbbell Row,Upper Back,Lats | Biceps,horizontal_pull,flat,dumbbell,beginner,free_weights_accessories
dumbbell-scaption,Dumbbell Scaption,Shoulders,Rotator Cuff | Serratus,isolation_push,incline,dumbbell,beginner,free_weights_accessories
dumbbell-shoulder-press,Dumbbell Shoulder Press,Shoulders,Triceps | Front Delts,vertical_push,overhead,dumbbell,beginner,free_weights_accessories
dumbbell-shrug,Dumbbell Shrug,Traps,Forearms,isolation_pull,none,dumbbell,beginner,free_weights_accessories
dumbbell-side-bend,Dumbbell Side Bend,Obliques,Core | Quadratus Lumborum,core_rotational,none,dumbbell,beginner,free_weights_accessories
dumbbell-skull-crusher,Dumbbell Skull Crusher,Triceps,Forearms,isolation_push,flat,dumbbell,intermediate,free_weights_accessories
dumbbell-squeeze-press,Dumbbell Squeeze Press,Chest,Triceps,isolation_push,flat,dumbbell,beginner,free_weights_accessories
dumbbell-sumo-deadlift,Dumbbell Sumo Deadlift,Hamstrings,Glutes | Inner Thigh,hip_hinge,none,dumbbell,beginner,free_weights_accessories
dumbbell-thruster,Dumbbell Thruster,Quads,Shoulders | Glutes | Triceps,squat,overhead,dumbbell,intermediate,free_weights_accessories
dumbbell-tricep-kickback,Dumbbell Tricep Kickback,Triceps,,isolation_push,none,dumbbell,beginner,free_weights_accessories
dumbbell-upright-row,Dumbbell Upright Row,Traps,Side Delts | Biceps,isolation_pull,none,dumbbell,intermediate,free_weights_accessories
elliptical,Elliptical,Quads,Glutes | Calves,cardio,none,machine,beginner,machine
ez-bar-curl,EZ Bar Curl,Biceps,Forearms,isolation_pull,none,barbell,beginner,free_weights_accessories
ez-bar-skull-crusher,EZ Bar Skull Crusher,Triceps,Forearms,isolation_push,flat,barbell,intermediate,free_weights_accessories
face-pull,Face Pull,Rear Delts,Traps | Upper Back,isolation_pull,none,cable,beginner,machine
farmers-carry,Farmer's Carry,Forearms,Traps | Core | Glutes,carry,none,dumbbell,beginner,free_weights_accessories
flat-dumbbell-press,Flat Dumbbell Press,Chest,Front Delts | Triceps,horizontal_push,flat,dumbbell,beginner,free_weights_accessories
floor-leg-raise,Floor Leg Raise,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
flutter-kicks,Flutter Kicks,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
frog-pump,Frog Pump,Glutes,Inner Thigh,hip_hinge,none,bodyweight,beginner,bodyweight_only
front-squat,Front Squat,Quads,Glutes | Core,squat,none,barbell,advanced,barbell
ghd-sit-up,GHD Sit-Up,Abs / Core,Hip Flexors,core_anterior,none,machine,advanced,machine
glute-bridge,Glute Bridge,Glutes,Hamstrings | Core,hip_hinge,none,bodyweight,beginner,bodyweight_only
glute-kickback-machine,Glute Kickback Machine,Glutes,Hamstrings,hip_hinge,none,machine,beginner,machine
glute-ham-raise,Glute-Ham Raise,Hamstrings,Glutes | Lower Back,hip_hinge,none,bodyweight,advanced,machine
goblet-squat,Goblet Squat,Quads,Glutes | Core,squat,none,dumbbell,beginner,free_weights_accessories
good-morning,Good Morning,Hamstrings,Lower Back | Glutes,hip_hinge,none,barbell,intermediate,barbell
hack-squat,Hack Squat,Quads,Glutes,squat,none,machine,intermediate,machine
hammer-curl,Hammer Curl,Biceps,Forearms,isolation_pull,none,dumbbell,beginner,free_weights_accessories
hamstring-curl,Hamstring Curl,Hamstrings,Calves,isolation_legs,none,machine,beginner,machine
hamstring-kicks,Hamstring Kicks,Hamstrings,Glutes | Hip Flexors,hip_hinge,none,bodyweight,beginner,bodyweight_only
handstand,Handstand,Shoulders,Triceps | Core | Upper Back,vertical_push,overhead,bodyweight,advanced,bodyweight_only
hang-clean,Hang Clean,Hamstrings,Traps | Shoulders | Glutes,hip_hinge,none,barbell,advanced,barbell
hang-power-clean,Hang Power Clean,Hamstrings,Glutes | Traps | Shoulders,hip_hinge,none,barbell,advanced,barbell
hanging-knee-raise,Hanging Knee Raise,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
hanging-leg-raise,Hanging Leg Raise,Core,Hip Flexors,core_anterior,none,bodyweight,intermediate,bodyweight_only
high-knees,High Knees,Quads,Hip Flexors | Calves,cardio,none,bodyweight,beginner,bodyweight_only
high-row-cable,High Row (Cable),Upper Back,Rear Delts | Biceps | Rhomboids,horizontal_pull,flat,cable,beginner,machine
high-to-low-cable-fly,High-to-Low Cable Fly,Lower Chest,Front Delts,isolation_push,decline,cable,beginner,machine
hiit-cardio,HIIT Cardio,Cardio,Full Body,cardio,none,none,intermediate,freestyle_cardio
hip-abduction-machine,Hip Abduction Machine,Abductors,Glutes,isolation_legs,none,machine,beginner,machine
hip-adduction-machine,Hip Adduction Machine,Adductors,Glutes,isolation_legs,none,machine,beginner,machine
hip-circle,Hip Circle,Hip Flexors,Glutes | Abs / Core,isolation_legs,none,none,beginner,bodyweight_only
hip-flexor-stretch,Hip Flexor Stretch,Quads,Glutes,cardio,none,bodyweight,beginner,bodyweight_only
hollow-body-rock,Hollow Body Rock,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,intermediate,bodyweight_only
hollow-hold,Hollow Hold,Core,Hip Flexors,core_anterior,none,bodyweight,intermediate,bodyweight_only
incline-barbell-press,Incline Barbell Press,Upper Chest,Front Delts | Triceps,horizontal_push,incline,barbell,intermediate,barbell
incline-cable-fly,Incline Cable Fly,Upper Chest,Front Delts,isolation_push,incline,cable,beginner,machine
incline-cable-press,Incline Cable Press,Upper Chest,Front Delts | Triceps,horizontal_push,incline,cable,beginner,machine
incline-dumbbell-curl,Incline Dumbbell Curl,Biceps,Forearms,isolation_pull,incline,dumbbell,intermediate,free_weights_accessories
incline-dumbbell-fly,Incline Dumbbell Fly,Upper Chest,Front Delts,isolation_push,incline,dumbbell,beginner,free_weights_accessories
incline-dumbbell-press,Incline Dumbbell Press,Upper Chest,Front Delts | Triceps,horizontal_push,incline,dumbbell,beginner,free_weights_accessories
incline-machine-press,Incline Machine Press,Upper Chest,Front Delts | Triceps,horizontal_push,incline,machine,beginner,machine
push-up-incline,Incline Push-Up,Upper Chest,Front Delts | Triceps,horizontal_push,incline,bodyweight,beginner,bodyweight_only
incline-tricep-extension,Incline Tricep Extension,Triceps,Forearms,isolation_push,incline,dumbbell,beginner,free_weights_accessories
inverted-row,Inverted Row,Upper Back,Biceps | Rear Delts,horizontal_pull,flat,bodyweight,beginner,bodyweight_only
jackknife-sit-up,Jackknife Sit-Up,Abs / Core,Hip Flexors,core_anterior,none,bodyweight,intermediate,bodyweight_only
jefferson-curl,Jefferson Curl,Hamstrings,Lower Back | Glutes,hip_hinge,none,dumbbell,intermediate,free_weights_accessories
jm-press,JM Press,Triceps,Chest,isolation_push,flat,barbell,advanced,barbell
jump-lunge,Jump Lunge,Quads,Glutes | Calves,lunge,none,bodyweight,intermediate,bodyweight_only
jump-rope,Jump Rope,Calves,Shoulders | Core,cardio,none,none,beginner,bodyweight_only
jumping-jacks,Jumping Jacks,Cardio,Shoulders | Legs | Calves,cardio,none,bodyweight,beginner,bodyweight_only
kettlebell-clean-and-press,Kettlebell Clean and Press,Shoulders,Glutes | Core | Triceps,vertical_push,overhead,kettlebell,advanced,free_weights_accessories
kettlebell-deadlift,Kettlebell Deadlift,Hamstrings,Glutes | Lower Back,hip_hinge,none,kettlebell,beginner,free_weights_accessories
kettlebell-figure-8,Kettlebell Figure-8,Core,Shoulders | Glutes,core_rotational,none,kettlebell,intermediate,free_weights_accessories
kettlebell-goblet-squat,Kettlebell Goblet Squat,Quads,Glutes | Core,squat,none,kettlebell,beginner,free_weights_accessories
kettlebell-press,Kettlebell Press,Shoulders,Triceps,vertical_push,overhead,kettlebell,intermediate,free_weights_accessories
kettlebell-row,Kettlebell Row,Upper Back,Biceps | Rear Delts,horizontal_pull,flat,kettlebell,beginner,free_weights_accessories
kettlebell-snatch,Kettlebell Snatch,Glutes,Shoulders | Core | Hamstrings,hip_hinge,overhead,kettlebell,advanced,free_weights_accessories
kettlebell-swing,Kettlebell Swing,Glutes,Hamstrings | Core | Shoulders,hip_hinge,none,kettlebell,intermediate,free_weights_accessories
kettlebell-windmill,Kettlebell Windmill,Core,Shoulders | Glutes | Hips,carry,none,kettlebell,advanced,free_weights_accessories
kipping-pull-up,Kipping Pull-Up,Lats,Shoulders | Core,vertical_pull,overhead,bodyweight,intermediate,bodyweight_only
kong-curl,Kong Curl,Biceps,Forearms | Brachialis,isolation_pull,flat,dumbbell,beginner,free_weights_accessories
kroc-row,Kroc Row,Lats,Upper Back | Biceps | Rear Delts,horizontal_pull,flat,dumbbell,advanced,free_weights_accessories
l-sit,L-Sit,Abs / Core,Triceps | Hip Flexors,core_anterior,none,bodyweight,advanced,bodyweight_only
landmine-hip-thrust,Landmine Hip Thrust,Glutes,Hamstrings,hip_hinge,none,landmine,beginner,barbell
landmine-lateral-raise,Landmine Lateral Raise,Side Delts,Traps,isolation_push,none,landmine,intermediate,barbell
landmine-press,Landmine Press,Shoulders,Chest | Triceps,vertical_push,overhead,landmine,beginner,barbell
landmine-rotation,Landmine Rotation,Obliques,Core | Shoulders,core_rotational,none,landmine,beginner,barbell
landmine-row,Landmine Row,Upper Back,Lats | Biceps,horizontal_pull,flat,landmine,beginner,barbell
landmine-squat,Landmine Squat,Quads,Glutes | Core,squat,none,landmine,beginner,barbell
lat-pulldown,Lat Pulldown,Lats,Upper Back | Biceps,vertical_pull,overhead,cable,beginner,machine
lateral-lunge,Lateral Lunge,Quads,Glutes | Inner Thigh,lunge,none,bodyweight,beginner,bodyweight_only
leg-extension,Leg Extension,Quads,,isolation_legs,none,machine,beginner,machine
leg-press,Leg Press,Quads,Glutes | Hamstrings,squat,none,machine,beginner,machine
leg-press-calf-raise,Leg Press Calf Raise,Calves,,isolation_legs,none,machine,beginner,machine
leg-swings-front-back,Leg Swings (Front-Back),Hip Flexors,Hamstrings | Glutes,hip_hinge,none,bodyweight,beginner,bodyweight_only
low-to-high-cable-fly,Low-to-High Cable Fly,Upper Chest,Front Delts,isolation_push,incline,cable,beginner,machine
lying-leg-curl,Lying Leg Curl,Hamstrings,Calves,isolation_legs,prone,machine,beginner,machine
lying-tricep-extension,Lying Tricep Extension,Triceps,Forearms,isolation_push,flat,barbell,beginner,barbell
machine-chest-press,Machine Chest Press,Chest,Front Delts | Triceps,horizontal_push,flat,machine,beginner,machine
machine-crunch,Machine Crunch,Abs / Core,Hip Flexors,core_anterior,none,machine,beginner,machine
machine-curl,Machine Curl,Biceps,Forearms,isolation_pull,none,machine,beginner,machine
machine-hip-thrust,Machine Hip Thrust,Glutes,Hamstrings,hip_hinge,none,machine,beginner,machine
machine-lateral-raise,Machine Lateral Raise,Shoulders,Traps,isolation_push,none,machine,beginner,machine
machine-preacher-curl,Machine Preacher Curl,Biceps,Forearms,isolation_pull,incline,machine,beginner,machine
machine-pulldown,Machine Pulldown,Lats,Upper Back | Biceps,vertical_pull,overhead,machine,beginner,machine
machine-rear-delt-fly,Machine Rear Delt Fly,Rear Delts,Upper Back,isolation_pull,prone,machine,beginner,machine
machine-row,Machine Row,Upper Back,Lats | Biceps,horizontal_pull,flat,machine,beginner,machine
machine-shoulder-press,Machine Shoulder Press,Shoulders,Triceps,vertical_push,overhead,machine,beginner,machine
meadows-row,Meadows Row,Upper Back,Lats | Rear Delts | Biceps,horizontal_pull,flat,barbell,advanced,barbell
med-ball-slam,Med Ball Slam,Core,Shoulders | Back,core_rotational,none,none,intermediate,free_weights_accessories
mountain-climber,Mountain Climber,Abs / Core,Shoulders | Hip Flexors,core_anterior,none,bodyweight,beginner,bodyweight_only
muscle-up,Muscle-Up,Lats,Chest | Triceps | Shoulders,vertical_pull,overhead,bodyweight,advanced,bodyweight_only
neutral-grip-pulldown,Neutral-Grip Pulldown,Lats,Biceps | Upper Back,vertical_pull,overhead,cable,beginner,machine
nordic-curl,Nordic Curl,Hamstrings,Glutes | Lower Back,hip_hinge,none,bodyweight,advanced,bodyweight_only
oblique-crunch,Oblique Crunch,Obliques,Abs / Core,core_rotational,none,bodyweight,beginner,bodyweight_only
one-arm-cable-pushdown,One-Arm Cable Pushdown,Triceps,Forearms,isolation_push,none,cable,beginner,machine
outdoor-run,Outdoor Run,Cardio,Quads | Calves | Glutes | Hamstrings,cardio,none,none,beginner,freestyle_cardio
overhead-barbell-press,Overhead Barbell Press,Shoulders,Triceps | Upper Traps,vertical_push,overhead,barbell,intermediate,barbell
overhead-carry,Overhead Carry,Shoulders,Traps | Core,carry,none,dumbbell,intermediate,free_weights_accessories
overhead-ez-bar-extension,Overhead EZ Bar Tricep Extension,Triceps,Forearms,isolation_push,none,barbell,beginner,free_weights_accessories
overhead-squat,Overhead Squat,Quads,Shoulders | Core | Glutes,squat,overhead,barbell,advanced,barbell
overhead-tricep-extension,Overhead Tricep Extension,Triceps,Forearms,isolation_push,none,cable,beginner,machine
pallof-press,Pallof Press,Abs / Core,Obliques,core_rotational,none,cable,beginner,machine
pause-bench-press,Pause Bench Press,Chest,Front Delts | Triceps,horizontal_push,flat,barbell,intermediate,barbell
pause-squat,Pause Squat,Quads,Glutes | Core,squat,none,barbell,advanced,barbell
pec-deck,Pec Deck,Chest,Front Delts,isolation_push,flat,machine,beginner,machine
pendlay-row,Pendlay Row,Upper Back,Lats | Biceps,horizontal_pull,flat,barbell,advanced,barbell
pendulum-squat,Pendulum Squat,Quads,Glutes,squat,none,machine,intermediate,machine
pike-push-up,Pike Push-Up,Shoulders,Triceps | Upper Chest,vertical_push,overhead,bodyweight,beginner,bodyweight_only
pin-press,Pin Press,Chest,Triceps | Front Delts,horizontal_push,flat,barbell,advanced,barbell
pistol-squat,Pistol Squat,Quads,Glutes | Core,squat,none,bodyweight,advanced,bodyweight_only
plank,Plank,Core,Glutes | Shoulders,core_anterior,none,bodyweight,beginner,bodyweight_only
plank-shoulder-taps,Plank Shoulder Taps,Core,Shoulders | Obliques,core_anterior,none,bodyweight,beginner,bodyweight_only
plate-front-raise,Plate Front Raise,Front Delts,Upper Chest,isolation_push,none,none,beginner,free_weights_accessories
plate-pinch,Plate Pinch,Forearms,Traps,carry,none,none,beginner,free_weights_accessories
power-clean,Power Clean,Hamstrings,Glutes | Traps | Shoulders,hip_hinge,none,barbell,advanced,barbell
